timestamp,_data,_check_fields
8182775119.0,"array('h', [3.355409932220988, 2.3358803299690685, 2.4648356313100743, 3.2747538272671073, 3.899562385211585, 3.7106061045288703, 9.536907524292966, 7.368636388010589])",False
8202702347.557377,"array('h', [1.6067030966362266, 0.767780618851907, 0.7557263514698926, 0.6606103685056319, 1.3249161734626942, 3.7381300857869424, 8.467614648333806, 6.879594556527459])",False
8222629576.114754,"array('h', [1.6747874155643503, 1.2514558936735773, 0.9566763275228723, 1.5656975496723864, 1.942987569294491, 3.468075176981241, 5.657966726049533, 5.158701563940456])",False
8242556804.672132,"array('h', [1.4998850091665386, 0.9071501225213121, 0.8090601894972285, 1.0631780152334562, 1.164643922042801, 3.149938657704001, 5.62125979791838, 4.799171863167636])",False
8262484033.229508,"array('h', [1.4820913433242757, 1.0525882745800577, 0.9765458738164885, 1.4124786709050199, 1.469394515551581, 2.7001741754617674, 4.5254094484985075, 4.088609490848047])",False
8282411261.786885,"array('h', [1.1602803861877893, 0.9401975485745109, 0.8193536583735507, 1.048987028625463, 1.137132555116127, 2.2627821668985932, 4.247582481925877, 3.670129261801756])",False
8302338490.344262,"array('h', [1.3022705253810822, 1.123607681442318, 1.0311875757846904, 1.1786143143948367, 1.3510837315828164, 2.115449437483513, 3.5325821439575367, 3.216227357048792])",False
8322265718.901639,"array('h', [1.0932737439055895, 0.9802209459605714, 0.9899211099428054, 0.9941777693436941, 1.1156254009386373, 2.0186986412004844, 3.457023100258704, 2.993250585554213])",False
8342192947.459017,"array('h', [1.2099236849775352, 1.1876241184152152, 1.0849892993853478, 1.1554423009266355, 1.287462566470179, 1.9767756454933383, 3.0895185757222046, 2.7215194071282967])",False
8362120176.016394,"array('h', [1.246786215912273, 1.120904603958877, 1.3309092040714001, 1.1017909777151313, 1.2589564471419454, 2.123715307865209, 2.961622228549823, 2.6363587155923285])",False
8382047404.5737705,"array('h', [1.8951809088985294, 1.859411167645686, 2.3739321963125675, 1.8970830677802715, 1.9117648735361106, 2.2952848105731873, 2.8651447494871296, 2.8711057177172306])",False
8401974633.131147,"array('h', [2.295959006053652, 2.2802254068978844, 2.8111897314977043, 2.4065942121330965, 2.086288921833461, 2.6527482942096583, 3.202392766356041, 3.135394084635261])",False
8421901861.688524,"array('h', [2.5575895941968896, 2.5888112238372534, 3.928737214005378, 3.0329424175587807, 2.6695462935475898, 2.8067586876022026, 3.16187819183565, 3.1872351526079616])",False
8441829090.245902,"array('h', [2.8094133806504034, 2.7027254281586353, 4.896095265618575, 3.8340610767761825, 3.1690661831156253, 2.9686999204483353, 2.915074270494911, 3.103675181422427])",False
8461756318.803279,"array('h', [3.14429714467851, 3.173747324110579, 6.457561937038501, 7.368976601939542, 4.224093741454272, 3.3290155609693777, 2.84471588386007, 3.0328825746947103])",False
8481683547.360656,"array('h', [3.384004373622079, 3.6307064377083624, 8.277012454809622, 8.801799822869919, 5.855382650486227, 3.7225837292231456, 3.112632323763449, 3.2312107799289085])",False
8501610775.918033,"array('h', [3.9311495749875713, 4.211822850368529, 9.6897085043162, 13.329193870272759, 7.9584461643679285, 4.224488906726224, 3.3188585770993018, 3.50574378254478])",False
8521538004.4754095,"array('h', [4.457189578261351, 4.985868896871084, 11.308847227087757, 16.722016746723778, 10.897951432293409, 4.935370777594041, 3.4736692312111246, 3.766094050083512])",False
8541465233.032787,"array('h', [4.857401770096568, 5.367757182325088, 12.52835240227905, 21.3797236962726, 14.80138921451415, 5.473087278309137, 3.55352815988935, 3.9256964550909124])",False
8561392461.590164,"array('h', [4.795705709331194, 5.672783285579683, 13.998055089354176, 26.45185170754593, 17.438245303268737, 5.997505733535568, 3.8109068007905798, 3.9747081177718115])",False
8581319690.147541,"array('h', [5.229179184376699, 6.143600334916517, 14.988311313480581, 30.179047412659525, 19.499745647310405, 6.412350177042727, 4.020165778331674, 4.144913908882589])",False
8601246918.704918,"array('h', [5.310641646686783, 6.460820939054088, 16.334560917890588, 34.93968060363811, 22.18433165732193, 6.868595796415857, 4.280662497199319, 4.360881296864015])",False
8621174147.262295,"array('h', [5.387187585085909, 6.971338528800871, 17.608750116703472, 39.907506101326014, 24.325063874696777, 7.25694562367842, 4.548912256227452, 4.4063180309418595])",False
8641101375.819672,"array('h', [5.079877314810326, 6.618499733100311, 17.87249677103604, 42.7240173981296, 25.475719651163033, 7.205840342826722, 4.548987427480068, 4.215592828546775])",False
8661028604.377048,"array('h', [4.991715893609622, 6.524742761450652, 17.96366669450798, 43.54958692476351, 26.027860582428442, 7.211724824646706, 4.376537856827968, 4.117253909692372])",False
8680955832.934425,"array('h', [4.743443758405021, 6.377820006110245, 16.674806831033585, 43.76261409112826, 25.699684605119042, 7.368388917143747, 4.427034102103345, 4.006498549735977])",False
8700883061.491804,"array('h', [4.543596555004339, 6.466209242959283, 15.975842947123564, 42.329352489350974, 25.353980590626712, 7.235443158387358, 4.230575167323547, 3.8147976790594487])",False
8720810290.049181,"array('h', [4.32398218277943, 5.998110442855133, 14.412510363774137, 40.55956002991984, 24.200160271369004, 6.820379308330122, 3.9666989837575053, 3.5546426538014844])",False
8740737518.606558,"array('h', [4.059684445923656, 5.696009561645159, 13.16716645535375, 39.551036140896855, 22.644492542789372, 6.356860964977225, 3.471105922176444, 3.1326017458670607])",False
8760664747.163935,"array('h', [3.4716499462497916, 4.982178135073885, 11.736648473957485, 35.336759080050264, 20.370187986539758, 5.753966646183929, 3.1506823350230464, 2.7284612831007653])",False
8780591975.721312,"array('h', [3.1335542266210608, 4.516892732466105, 10.957223851380368, 34.457393212660484, 17.41517956900614, 5.310841496786831, 3.167842953684563, 2.640577420587661])",False
8800519204.278688,"array('h', [2.9341142654848693, 4.391102693697326, 10.39885656213091, 31.64558934492448, 14.587295241561144, 4.936462799072214, 3.048215178190747, 2.5809023974667022])",False
8820446432.836065,"array('h', [3.2113771032235325, 4.104755455915503, 9.341142635427662, 28.509560879049694, 12.8629177051878, 4.572496685421077, 2.8113909207951315, 2.6637811237629982])",False
8840373661.393442,"array('h', [2.971595992356822, 3.991071005223725, 8.962814930424885, 24.912431335436583, 10.779868035104839, 4.362746876341701, 2.8087265216599544, 2.740919240533892])",False
8860300889.950819,"array('h', [3.1469567763131954, 3.6733179115243333, 7.723790854679038, 21.649732187475966, 8.838832761768433, 3.8875574853938555, 2.7357954321753772, 2.7542148882150346])",False
8880228118.508196,"array('h', [2.9481081792085995, 3.0340092588939567, 6.943846790369795, 19.571785883878793, 8.183709721365208, 3.747352213472479, 2.5287610476400064, 2.615738929424626])",False
8900155347.065575,"array('h', [4.731951609511201, 3.786032659071927, 6.457200544953856, 18.2567733617686, 7.443698213129912, 3.895190537819237, 2.9752379509690337, 3.236017911328061])",False
8920082575.622952,"array('h', [6.880116894869935, 4.974138365872752, 7.202465375699203, 18.76628665841922, 7.849472915986567, 4.14262654455864, 3.460912022022167, 4.003555897665838])",False
8940009804.180328,"array('h', [6.9205689556735, 4.859224349553721, 8.281242009763025, 21.024440644435455, 8.69513160348366, 3.748640245455132, 3.452593577290959, 4.0280340846169])",False
8959937032.737705,"array('h', [10.002069723157133, 6.664921398896588, 8.87226526903605, 21.712798031204894, 10.207325491740445, 4.625428267143695, 4.455524113027952, 5.430211674151324])",False
8979864261.295082,"array('h', [14.282738756645394, 9.405342457882828, 9.825867263317141, 22.118107422330862, 11.223312797246473, 5.946871166604275, 6.138112179423662, 8.404917758639545])",False
